modeldate,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,,,,,,
10/5/2019,All polls,42.296096,46.689285,37.902907,52.761621,56.336262,49.18698,1/13/2020 16:55,46.88932,51.23374,42.54489,40.04895,44.54684,35.55106
10/4/2019,Adults,40.571997,43.919151,37.224843,54.203202,58.291716,50.114688,1/13/2020 10:12,46.91763,51.24057,42.5947,40.02098,44.52187,35.52008
10/3/2019,Voters,42.874007,47.361895,38.386119,53.024374,56.953135,49.095613,1/13/2020 10:16,46.90491,51.22741,42.5824,40.00826,44.50834,35.50818
10/2/2019,All polls,41.788103,46.78655,36.789656,53.453778,57.398717,49.508839,1/13/2020 10:09,46.91618,51.22478,42.60757,40.01859,44.50917,35.52801
10/1/2019,Adults,40.571997,43.919162,37.224833,54.203202,58.291722,50.114682,1/13/2020 10:13,46.79657,51.1877,42.40545,39.89654,44.46478,35.3283
9/30/2019,All polls,41.788103,46.786543,36.789663,53.453778,57.398714,49.508842,1/13/2020 10:11,46.79758,51.1695,42.42567,39.88017,44.43277,35.32756
9/29/2019,Voters,42.874007,47.361895,38.386118,53.024374,56.953136,49.095612,1/13/2020 10:17,46.79544,51.17237,42.4185,39.88213,44.44373,35.32054
9/28/2019,Voters,42.874007,47.361895,38.386118,53.024374,56.953136,49.095612,1/10/2020 20:25,46.79355,51.17372,42.41339,39.88371,44.45168,35.31574
9/27/2019,Adults,40.571997,43.919169,37.224826,54.203202,58.291738,50.114666,1/10/2020 20:24,46.79586,51.18,42.41173,39.88061,44.45765,35.30358
9/26/2019,All polls,41.788103,46.786543,36.789663,53.453778,57.398713,49.508842,1/10/2020 20:23,46.78446,51.25709,42.31182,40.02592,44.69654,35.35531
9/25/2019,Voters,42.830361,47.308695,38.352027,53.062583,56.994551,49.130615,1/9/2020 19:34,46.79462,51.25529,42.33395,40.01021,44.67851,35.34192
9/24/2019,Adults,40.669623,44.084196,37.255049,54.091122,58.136734,50.045511,1/9/2020 19:33,46.81752,51.30174,42.33329,40.0184,44.71062,35.32618
9/23/2019,All polls,41.876866,46.849344,36.904388,53.3936,57.32164,49.46556,1/9/2020 19:32,46.8068,51.26634,42.34726,40.01696,44.67719,35.35673
9/22/2019,Voters,42.731808,47.11577,38.347845,53.184104,57.051947,49.316261,1/8/2020 18:45,46.8039,51.26691,42.34089,40.01768,44.68391,35.35144
9/21/2019,Adults,40.718772,44.102019,37.335526,54.024778,58.074879,49.974676,1/8/2020 18:43,46.80098,51.26773,42.33422,40.01879,44.69142,35.34616
9/20/2019,All polls,41.864635,46.660242,37.069029,53.403808,57.300589,49.507027,1/8/2020 18:43,46.80334,51.26412,42.34256,39.99981,44.67303,35.3266
9/19/2019,Voters,42.948346,47.648753,38.247939,53.066605,57.257004,48.876206,1/7/2020 22:52,46.78735,51.24686,42.32784,40.00001,44.66711,35.33292
